,business_supplier,contacts_url,gold_status,gold_years,main_products,supplier_url,supplier_name_copy,rating,contact_name,contact_dept,Address:,Zip:,Country/Region:,Province/State:,City:
2511,"Yantai Trano New Material Co., Ltd.",https://sskegs.en.alibaba.com/contactinfo.html,Supplier,2,Beer Keg and Brewery Machinery,https://sskegs.en.alibaba.com/company_profile.html#top-nav-bar,"Yantai Trano New Material Co., Ltd.,Supplier",5.0,Ms. Christine Wang,Sales,No. 58 Zhifu Area,264000,China,Shandong,Yantai
2512,"R&L International Trade (Shanghai) Co., Ltd.",https://rliclequipment.en.alibaba.com/contactinfo.html,Gold Supplier,5,Homebrewing Equipment,https://rliclequipment.en.alibaba.com/company_profile.html#top-nav-bar,"R&L International Trade (Shanghai) Co., Ltd.",5.0,Mr. Rocky Huang,Sales,"Rm.401, Suite C, No.100, Lane 2891,South Qi Lian Shan  Rd,Shanghai, China ",200331,China,Shanghai,Shanghai
2513,Anhui Honyi International Corp.,https://honyii.en.alibaba.com/contactinfo.html,Gold Supplier,6,"FRIDGE, FRIDGE PARTS, GARMENT",https://honyii.en.alibaba.com/company_profile.html#top-nav-bar,Anhui Honyi International Corp.,3.7,Mr. Tom Xin,,"RoomB-2106,CommercialBuilding,WoyeGarden,GanquanRoad, ShushanDist",230000,China,Anhui,hefei
2514,Yuyao King-Tech Electrical Appliance Factory,https://cnkingtech.en.alibaba.com/contactinfo.html,Gold Supplier,7,"beer cooler, draft beer equipment accessory, ice maker, cooler box, beer keg fridge",https://cnkingtech.en.alibaba.com/company_profile.html#top-nav-bar,Yuyao King-Tech Electrical Appliance Factory,,Mr. Andy Wong,Director/CEO/General Manager,"Zhenxi Village,Langxia St.",315490,China,Zhejiang,Yuyao
2515,EXPORT BELT CORPORATION,https://exportbelt.trustpass.alibaba.com/contactinfo.html,Gold Supplier,7,"Hand Embroidered bullion blazer badge crest patch insignia, Uniform Accessories &amp; Uniform Accoutrements, Aiguillettes Lanyards Dress Cords Shoulder Cords shoulder board epaulettes sword knot ceremonial belt, Masonic Regalia Appron Collars Sashes Badges ...",https://exportbelt.trustpass.alibaba.com/company_profile.html#top-nav-bar,EXPORT BELT CORPORATION,,Mr. Faisal Taimoor,Director/CEO/General Manager,"12/325 Hamza Ghouse, Pasrur Road, Sialkot,",,Pakistan,Punjab,Pakistan
2516,Wuxi Winsell International Trading Corp.,https://winsell.en.alibaba.com/contactinfo.html,Gold Supplier,6,"promotional product, promotional item, promotional gifts item, novelty promotional gifts, promotional items with logo",https://winsell.en.alibaba.com/company_profile.html#top-nav-bar,Wuxi Winsell International Trading Corp.,0.0,Mr. vivian jiang,Director/CEO/General Manager,"Room 1505,Wanbo Commercial Square 11#,GuangNan Road",214011,China,Jiangsu,Wuxi
2517,TailorMax (Xiamen) Trading Limited,https://tailormax.en.alibaba.com/contactinfo.html,Gold Supplier,8,"Garments, Bedding Sets, Scarves, Shoes, Water Bottles",https://tailormax.en.alibaba.com/company_profile.html#top-nav-bar,TailorMax (Xiamen) Trading Limited,4.9,Mr. Steven Huang,Director/CEO/General Manager,"Xinyuan Building, 25 Xinglong Road, Huli District",361006,China,Fujian,Xiamen
2518,"Shanghai Papa Industrial Co., Ltd.",https://papamachine.en.alibaba.com/contactinfo.html,Gold Supplier,2,"protein bar machine, maamoul machine, encrusting machine, chocolate machine, dim sum machine",https://papamachine.en.alibaba.com/company_profile.html#top-nav-bar,"Shanghai Papa Industrial Co., Ltd.",5.0,Ms. Papa Machine,Sales,Fengxian ,,China,Shanghai,shanghai
2519,Dongtai Chaoyang Food ,https://cnchaoyang.en.alibaba.com/contactinfo.html,Gold Supplier,12,"Packaging machine, Candy product line, Lollipop product line, Nougat product line, Bar forming machine",https://cnchaoyang.en.alibaba.com/company_profile.html#top-nav-bar,"Dongtai Chaoyang Food Machinery Co., Ltd.",,,,,,,,
2520," Co., Ltd.",https://wbmachine.en.alibaba.com/contactinfo.html,Gold Supplier,1,"ball valve assembly machine, Spreads the rubber to turn tight machine, Lining flowing casing pressure hat machine, The padding valve lever knocks the ball machine, The two axle hits the rubber machine",https://wbmachine.en.alibaba.com/company_profile.html#top-nav-bar,"Yuhuan Weibang Machine Tool Co., Ltd.",,yifei jin,,,,China,,
2521,Yuhuan Weibang ,https://jdzhuiju.en.alibaba.com/contactinfo.html,Gold Supplier,4,"egg incubator, plucker, pellet machine, cold room, snack machines",https://jdzhuiju.en.alibaba.com/company_profile.html#top-nav-bar,"Jingdezhen Huiju Technologies Co., Ltd.",4.4,Mr. Bill Zou,Sales,Kaixuan Huafu 19-102,333300,China,Jiangxi,Leping
2522," Tool Co., Ltd.",https://mywaypack.en.alibaba.com/contactinfo.html,Supplier,4,Packing Machine,https://mywaypack.en.alibaba.com/company_profile.html#top-nav-bar,"Jining Myway Machinery Co., Ltd.,Supplier",4.9,Ms. Echo Li,Sales,Business Building of Redstar Macalline,272000,China,Shandong,Jining
2523," Co., Ltd.",https://shsien.en.alibaba.com/contactinfo.html,Gold Supplier,9,"Candy Production Line, candy depositing line, candy making machine",https://shsien.en.alibaba.com/company_profile.html#top-nav-bar,"Shanghai Sien Food Machinery Manufacturing Co., Ltd.",,Ms. grace ji,Sales,"No.321,Xinghuo Road, Fengxian Dist. Shanghai, China",201407,China,Shanghai,Shanghai
2524,"Shenzhen Ge Lin Shi Sports Equipment Co., Ltd.",https://gelinshisports.en.alibaba.com/contactinfo.html,Gold Supplier,2,"tennis Trainer, Badminton Trainer, Racket stringing Machine",https://gelinshisports.en.alibaba.com/company_profile.html#top-nav-bar,"Shenzhen Ge Lin Shi Sports Equipment Co., Ltd.",3.6,Ms. Kelly Zhang,," Building C,Jinruixiang Industrial Park,Xinwei Industrial Zone No.4,Jiangshi,Guangming,Shenzhen",518106,China,Guangdong,Shenzhen
2525,Shanghai Joygoal Food ,https://joygoal.en.alibaba.com/contactinfo.html,Gold Supplier,9,"filling machine, sealing machine, packing machine, filling and sealing machine, coffee filling machine",https://joygoal.en.alibaba.com/company_profile.html#top-nav-bar,"Shanghai Joygoal Food Machinery Co., Ltd.",4.7,Mr. haixiao hong,Marketing,"No.1082,Jiaxin Road,Jiading District,Shanghai",201801,China,Shanghai,shanghai
2526,Shandong Haidai Intelligent ,https://kce.en.alibaba.com/contactinfo.html,Gold Supplier,6,"UV Coating Machine, Hot and Cold Laminating Machine, Album Making Machine, Vacuum Hot Press Machine, Gilding Machine (Only for Overseas)",https://kce.en.alibaba.com/company_profile.html#top-nav-bar,Pengjiang Ke Chuang Photographic Equipment Center,,Ms. Monica Yu,Sales,"No.353 xihuan road,jiangmen,China",,China,Guangdong,Jiangmen city
2527," Co., Ltd.",https://acctekcnc.en.alibaba.com/contactinfo.html,Gold Supplier,5,"cnc router, laser machine, plasma cutting machine, laser marking machine, stone carving machine",https://acctekcnc.en.alibaba.com/company_profile.html#top-nav-bar,"Jinan Acctek Machinery Co., Ltd.",3.6,Mr. Andy Liu,Sales,"RM2-1015,SHIZHONG DIST.",250100,China,Shandong,Jinan
2528,Pengjiang Ke Chuang Photographic Equipment Center,https://accmachine.en.alibaba.com/contactinfo.html,Supplier,5,"3D Filament Extrusion Line, Plastic Pipe Production Line, Plastic Pelletizing Line, Plastic Washing and Recycling Line, Plastic Sheet Board Production Line, Plastic Mixer, Plastic Crusher",https://accmachine.en.alibaba.com/company_profile.html#top-nav-bar,"Suzhou ACC Machine Co., Ltd.,Supplier",,Mr. Martin Liang,Director/CEO/General Manager,"No.3 Jinle Road,Jinfeng Town, Zhangjiagang City",215600,China,Jiangsu,Suzhou
2529,Jinan Acctek ,https://xinpengxing.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Die cutting machine, high speed die cutting machine, sheet cutting machine, hot stamping machine, die cutter",https://xinpengxing.en.alibaba.com/company_profile.html#top-nav-bar,"Shenzhen XPX Machinery Equipment Co., Ltd.",,Ms. Rita Chen,Sales,"Longdong community ,Longgang district  ",518116,China,Guangdong,Shenzhen 
2530," Co., Ltd.",https://zhmachine.en.alibaba.com/contactinfo.html,Supplier,7,"Fish feed &amp; Pet food machine, Snack food extruder, Pasta machine",https://zhmachine.en.alibaba.com/company_profile.html#top-nav-bar,"Jinan Zhuoheng Extrusion Machinery Co., Ltd.,Supplier",0.0,Mr. Victor Feng,Sales,"No.21 Daqiao Road, Daqiao Town,Tianqiao District",250121,China,Shandong,Jinan 
2531,Zhengzhou Canmax ,https://cn-canmax.en.alibaba.com/contactinfo.html,Gold Supplier,4,"Block machine, oil press machine, Charcoal Machine, Briquette Machine, copper wilre recycling machine",https://cn-canmax.en.alibaba.com/company_profile.html#top-nav-bar,"Zhengzhou Canmax Machinery & Equipment Co., Ltd.",4.9,Mr. Elvis Cheng,Director/CEO/General Manager,"98 Longhai Road, Guancheng District, Zhengzhou, Henan, China (Mainland)",450000,China,Henan,Zhengzhou
2532,"Henan Hengyi Heavy Industry Equipment Co., Ltd.",https://pindu.en.alibaba.com/contactinfo.html,Gold Supplier,5,"food and beverage machine, farm and agricultural machine, recycling and environmental machine, construction machine, coal and charcoal machine",https://pindu.en.alibaba.com/company_profile.html#top-nav-bar,"Zhengzhou Pindu Trade Co., Ltd.",3.0,Ms. Emily Zhang,Director/CEO/General Manager,"Room 603, Floor 6, East Unit 6, No.11 Building, Shangdu World Trade Center",450000,China,Henan,Zhengzhou City
2533,"Zhengzhou Pindu Trade Co., Ltd.",https://youdomachinery.en.alibaba.com/contactinfo.html,Gold Supplier,3,"Nut processing machinery, Meat machinery, Fruit and vegetable machinery",https://youdomachinery.en.alibaba.com/company_profile.html#top-nav-bar,"Kaifeng Youdo Machinery Co., Ltd.",4.6,Ms. Cherry Han,Sales," Room 04, Floor 2,Free Trade Building A, Zheng Kai Avenue NO.296, Henan Free Trade Experimental Zone Kaifeng Area, Kaifeng, Henan Province, China",,China,Henan,Kaifeng
2534,Kaifeng Youdo ,https://huahongmachine.en.alibaba.com/contactinfo.html,Gold Supplier,6,"Jaw crusher, hammer mill, Wet pan mill, Ball Mill, Roller crusher",https://huahongmachine.en.alibaba.com/company_profile.html#top-nav-bar,"Zhengzhou Huahong Machinery Equipment Co., Ltd.",,Ms. Lily Li,Sales,"Southward 150 Meters Away From Intersection Of Chemical West Road And Changchun Road, Tielu Village, Xiliuhu Street, Zhongyuan District",450000,China,Hainan,zhengzhou
2535," Co., Ltd.",https://zzhuahong.en.alibaba.com/contactinfo.html,Supplier,9,"Crusher, Wet Pan Mill, Ball Mill, Dryer, Vibrating Screen, Sand Making Machine, Mine Washing Machine, Flotation Machine, Raymond Mill, Shredder Machine",https://zzhuahong.en.alibaba.com/company_profile.html#top-nav-bar,,,,,,,,,
2536,Zhengzhou Huahong ,https://epmachinery.en.alibaba.com/contactinfo.html,Supplier,9,"Coal Briquette Press, Mineral Briquette Machine, Pellet Mill, Biomass/Charcoal Briquette Machine, Shisha Charcoal Briquette Press",https://epmachinery.en.alibaba.com/company_profile.html#top-nav-bar,"Zhengzhou E.P Machinery Co., Ltd.,Supplier",,,,,,,,
2537," Equipment Co., Ltd.",https://cnqmjx.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Charcoal making machine, Rotary dryer, Carbonization furnace, Clay brick machine, Cement brick machine",https://cnqmjx.en.alibaba.com/company_profile.html#top-nav-bar,"Henan Qimai Mechanical Equipment Co., Ltd.",,Ms. Linda zhang,Sales,shenglong,,China,Henan,zhengzhou
2538,Zhengzhou Huahong ,https://zhong-xiang.en.alibaba.com/contactinfo.html,Gold Supplier,4,"crusher, recycling machine, dryer, brick machine, shredder",https://zhong-xiang.en.alibaba.com/company_profile.html#top-nav-bar,"Zhengzhou Zhongxiang Machinery Equipment Co., Ltd.",5.0,Ms. Lisa Zhao,Sales,Industrial zone,451200,China,Henan,Zhengzhou
2539,"Fujian Ami Electronic Commerce Co., Ltd.",https://midodo.en.alibaba.com/contactinfo.html,Gold Supplier,1,"jewelry, keychain, hair accessories",https://midodo.en.alibaba.com/company_profile.html#top-nav-bar,"Fujian Ami Electronic Commerce Co., Ltd.",4.9,,,,,China,,
2540,"Yiwu Huating Import And Export Co., Ltd.",https://awaking.en.alibaba.com/contactinfo.html,Gold Supplier,3,"Gift toys, scarf, jewelry, cosmetics, OEM Service",https://awaking.en.alibaba.com/company_profile.html#top-nav-bar,"Yiwu Huating Import And Export Co., Ltd.",4.5,Mr. Kevin Jiang,Sales,The four seasons community six district 109  unit 2,322000,China,Zhejiang,yiwu
2541,"Shenzhen Desalen Trade Co., Limited",https://desalen.en.alibaba.com/contactinfo.html,Supplier,6,"Magic Tricks Products, Toys, Electronics, Electrical Equipment, Lights &amp; Lightings",https://desalen.en.alibaba.com/company_profile.html#top-nav-bar,"Shenzhen Desalen Trade Co., Limited,Supplier",4.9,Ms. Sue Su,Director/CEO/General Manager,"1204, Aiqinju, 78#, District 9, Dalang, Longhua",518000,China,Guangdong,Shenzhen
2542,"Wuxi CHRT Electronic Technology Co., Ltd.",https://wxchrt.en.alibaba.com/contactinfo.html,Gold Supplier,3,"Taco Holder, Plastic Injection product, Boxing reflex ball, 3D printer",https://wxchrt.en.alibaba.com/company_profile.html#top-nav-bar,"Wuxi CHRT Electronic Technology Co., Ltd.",4.6,Ms. Sunny Lee,Director/CEO/General Manager,"Area C, No.16, Liangdong Road, Liangxi DIST",214024,China,Jiangsu,wuxi
2543,"Shantou Chenghai Sam Toys Industrial Co., Ltd.",https://samtoycn.en.alibaba.com/contactinfo.html,Gold Supplier,12,"Helicopter, Toys, Gift, Building Block, Drone",https://samtoycn.en.alibaba.com/company_profile.html#top-nav-bar,"Shantou Chenghai Sam Toys Industrial Co., Ltd.",4.0,,,,,,,
2544,"Shantou Mingtong Toys Industrial Co., Ltd.",https://mingtongtoys.en.alibaba.com/contactinfo.html,Gold Supplier,8,"Puzzle, Magic Cube, Block, Toys, Gift",https://mingtongtoys.en.alibaba.com/company_profile.html#top-nav-bar,"Shantou Mingtong Toys Industrial Co., Ltd.",4.8,Ms. Stella Chen,Sales,"middle of dongxiang xia jiao cheng hua road,chenghai shantou city guangdong province,china",515800,China,Guangdong,Shan Tou
2545,Xiamen ,https://magforever.en.alibaba.com/contactinfo.html,Supplier,10,Magnet,https://magforever.en.alibaba.com/company_profile.html#top-nav-bar,"Xiamen Magnet Forever Electronic Co., Ltd.,Supplier",5.0,Mr. PO Zhang,Director/CEO/General Manager,"Room 406, NO.1 ZhongDa E-Business Park,XinChang Road 39",361026,China,Fujian,Xiamen
2546," Forever Electronic Co., Ltd.",https://cntaimagnet.en.alibaba.com/contactinfo.html,Gold Supplier,1,"NdFeB magnets, magnetic products, magnetic assemblies",https://cntaimagnet.en.alibaba.com/company_profile.html#top-nav-bar,"Dongguan City Chengtai Magnets Co., Ltd.",5.0,Mr. David Wu,,Tanflian 2 nd st.,,China,Guangdong,Dongguan
2547," Co., Ltd.",https://rcmagnet.en.alibaba.com/contactinfo.html,Gold Supplier,11,"Magnetic products (NdFeb magnets, Magnetic assembly, Magnetic badges, Magnetic nails, Magnetic bar, Magnetic hooks, Magnetic clip)",https://rcmagnet.en.alibaba.com/company_profile.html#top-nav-bar,"Ningbo Richeng Magnetics Materials Co., Ltd.",4.4,Mr. Yongchang Zhang,Director/CEO/General Manager,"Wangjiang Industrial Zone, Gaoqiao Town, Yinzhou District",315175,China,Zhejiang,Ningbo
2548,Dailymag Magnetic Technology (Ningbo) Limited,https://sdmmagnetics.en.alibaba.com/contactinfo.html,Gold Supplier,5,"Permanent Magnet, Magnetic Assembly, NdFeB Magnet, AlNiCo Magnet, SmCo Magnet",https://sdmmagnetics.en.alibaba.com/company_profile.html#top-nav-bar,,,Ms. Jessy Jiang,Director/CEO/General Manager,"Room 1702, Bldg. 1, Hangzhou Xiaoshan International Business Center, No. 458, Jincheng Road, Xiaoshan District",311200,China,Zhejiang,Hangzhou
2549,Ningbo Richeng ,https://palmygroup.en.alibaba.com/contactinfo.html,Gold Supplier,3,"Makeup Products, Personal Care Products, Electronic Products, Pest Control, Other Fashionable Products",https://palmygroup.en.alibaba.com/company_profile.html#top-nav-bar,"Shenzhen Palmy Group Technology Co., Limited",4.9,Mr. Jon Zeng,Director/CEO/General Manager,"Shajing Town Wanfeng Village Floor 9-10, No. 29",518104,China,Guangdong,Shenzhen
2550," Materials Co., Ltd.",https://zenpergifts.en.alibaba.com/contactinfo.html,Gold Supplier,3,"Gemstone Jewelry, Gemstone Loose Beads, Gemstone Bracelet, Gemstone Crafts, Natural Stone Products",https://zenpergifts.en.alibaba.com/company_profile.html#top-nav-bar,"Yiwu Zenper Crafts Co., Ltd.",4.8,Ms. Cindy Qu,Director/CEO/General Manager,"The 5TH FLOOR,BUILDING NO.2,NO.335 YANGCUN ROAD,YIWU,ZHEJIANG ,CHINA",322000,China,Zhejiang,Yiwu
2551,Hangzhou Shengshideng ,https://lenonmagnet.en.alibaba.com/contactinfo.html,Gold Supplier,1,"Permanent Magnet, Rare earth material, Ferrite Magnet, SmCo magnet, Application magnet",https://lenonmagnet.en.alibaba.com/company_profile.html#top-nav-bar,"Ningbo Lenon Magnet Co., Ltd.",4.9,Ms. Rong Xie,Director/CEO/General Manager,No.1 Falan Road. HengJie Industrial Zone,315000,China,Zhejiang,NingBo
2552," Co., Ltd.",https://china-magnets.en.alibaba.com/contactinfo.html,Gold Supplier,1,"NdFeB magnets, Ferrite Magnets, Pot Magnets, Hook Magnets, office Magnets",https://china-magnets.en.alibaba.com/company_profile.html#top-nav-bar,"Skyup Magnetics (Ningbo) Co., Ltd.",,Ms. Co Co,Marketing,"FengCheng Village,Jishigang Town,Haishu District",315171,China,Zhejiang,Ningbo
2553,"Changzhou City Jiqiang Plastic Co., Ltd.",https://jqsujiao.en.alibaba.com/contactinfo.html,Gold Supplier,5,"Yoga ball, gym ball, bouncing ball, animal bouncer, hopper ball",https://jqsujiao.en.alibaba.com/company_profile.html#top-nav-bar,"Changzhou City Jiqiang Plastic Co., Ltd.",,Mr. Jack Zhou,Sales,"West Yuchi Village Industry Park, Lijia Town, Wujin District, Changzhou",213176,China,Jiangsu,Changzhou City
2554,"Yiwu Union Imp&Exp Co., Ltd.",https://yw-union.en.alibaba.com/contactinfo.html,Gold Supplier,9,"plush toys, electric toys, soft toys, stuff toys, toys",https://yw-union.en.alibaba.com/company_profile.html#top-nav-bar,"Yiwu Union Imp&Exp Co., Ltd.",0.0,Mr. Maggie Alex,Sales,Yinan Industrial District Faotang town Yiwu City China,322000,China,Zhejiang,YIWU
2555,"Jingdezhen Huiju Technologies Co., Ltd.",https://huijutech.en.alibaba.com/contactinfo.html,Gold Supplier,5,"egg incubator, chicken slaughtering line, pellet mill, oil press, nuts butter maker",https://huijutech.en.alibaba.com/company_profile.html#top-nav-bar,"Jingdezhen Huiju Technologies Co., Ltd.",4.0,Mr. Bill Zou,Sales,"Jinxin Industrial Park, Renmin Road",,China,Jiangxi,Jingdezhen
2556,"Zhengzhou Pasen Machinery Co., Ltd.",https://pasen.en.alibaba.com/contactinfo.html,Gold Supplier,5,"food processing machine, Agricultural machinery, fruit processing machine, meat processing machine, peanut butter machine",https://pasen.en.alibaba.com/company_profile.html#top-nav-bar,"Zhengzhou Pasen Machinery Co., Ltd.",4.9,Ms. Sally Gao,Sales,no.734 middle of hanghai road,450000,China,Henan,zhengzhou city
2557,"Jiangmen Xinhui MayHope Machinery Co., Ltd.",https://mayhope.en.alibaba.com/contactinfo.html,Gold Supplier,3,"Refrigeration equipments, Kichenware",https://mayhope.en.alibaba.com/company_profile.html#top-nav-bar,"Jiangmen Xinhui MayHope Machinery Co., Ltd.",4.9,Elly Chow,,,,China,,
2558,"Zhengzhou Auris Machinery Co., Ltd.",https://aurismachinery.en.alibaba.com/contactinfo.html,Gold Supplier,5,"Food Machinery, chocolate machinery, Fruit and Vegetable Machinery, Packing Machinery, Pet food Machinery",https://aurismachinery.en.alibaba.com/company_profile.html#top-nav-bar,"Zhengzhou Auris Machinery Co., Ltd.",4.7,Ms. Alice Lee,Sales,Jinshui District,,China,,Zhengzhou
2559,"Nanchang Kay Xin Yue Technologies Co., Ltd.",https://kayxinyue.en.alibaba.com/contactinfo.html,Gold Supplier,3,"oil press machine, waffle maker, red bean cake machine, donut machine, peanut butter machine",https://kayxinyue.en.alibaba.com/company_profile.html#top-nav-bar,"Nanchang Kay Xin Yue Technologies Co., Ltd.",4.7,Ms. Sophia Huang,Director/CEO/General Manager,"Wanke Community,",,China,Jiangxi,Nanchang
2560,"Jiaozuo Kecheng Trading Co., Ltd.",https://cnfoodmachinery.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Meat products machinery, Flour products machinery, Vegetable processing machinery, Small appliances, Food processing machinery",https://cnfoodmachinery.en.alibaba.com/company_profile.html#top-nav-bar,"Jiaozuo Kecheng Trading Co., Ltd.",4.2,Mr. ming jin,,Room1006 No.2 Building Yuxi Road,454000,China,Henan,Jiaozuo
2561,"Guangzhou New Power Catering Equipment Manufacturing Co., Ltd.",https://gdnewpower.en.alibaba.com/contactinfo.html,Supplier,6,"Catering Equipment(Waffle Maker, Donut Machine, Churros Machine, Egg Tart Machine, Taiyaki Machine) (Export Only)",https://gdnewpower.en.alibaba.com/company_profile.html#top-nav-bar,"Guangzhou New Power Catering Equipment Manufacturing Co., Ltd.,Supplier",4.8,Mr. Simon Chen,Director/CEO/General Manager,"Building A, BeiCun Jiu Long Cheng Industry Zone, Taihe Town, Baiyun Distric",510540,China,Guangdong,Guangzhou
2562,"Zhengzhou Cambrian Machinery And Electronic Co., Ltd.",https://cambrian.en.alibaba.com/contactinfo.html,Gold Supplier,3,"Cellophane film packing machine, Basket crate washing machine, Instant freezer, Honey processing machine, Blizzard machine",https://cambrian.en.alibaba.com/company_profile.html#top-nav-bar,"Zhengzhou Cambrian Machinery And Electronic Co., Ltd.",5.0,Ms. Susie Cheng,Owner/Entrepreneur,"Waliu A, High-tech District",450000,China,Henan,Zhengzhou
2563,"Guangzhou Foodsense Catering Equipment Co., Limited",https://foodsense.en.alibaba.com/contactinfo.html,Gold Supplier,2,"western kitchen equipment, bakery equipment, food processing machine, refrigeration equipment, kitchen ware",https://foodsense.en.alibaba.com/company_profile.html#top-nav-bar,"Guangzhou Foodsense Catering Equipment Co., Limited",5.0,Ms. Sara Shaw,Director/CEO/General Manager,"ZHIHUI INDUSTRIAL PARK, SHILIAN ROAD, DALONG STREET, PANYU DISTRICT",510440,China,Guangdong,Guangzhou
2564,Pro-Health Product Ltd.,https://prohealth.en.alibaba.com/contactinfo.html,Gold Supplier,13,"Pharmaceutical Gifts Item, Anatomical Models, Plastic Products, First Aid Kits, Medical Plastic Rulers",https://prohealth.en.alibaba.com/company_profile.html#top-nav-bar,Pro-Health Product Ltd.,4.9,Ms. Angela He,Sales,"Room 507,Office Building A3,Poly Tal To Wun, No.290,Hanxi Avenue East,Panyu District",510095,China,Guangdong,Guangzhou
2565,"Foshan Zhi Xing E-Commerce Co., Ltd.",https://fszhixing.en.alibaba.com/contactinfo.html,Gold Supplier,1,"golf accessories, Key Chain, Badge, Medal, ashtray",https://fszhixing.en.alibaba.com/company_profile.html#top-nav-bar,"Foshan Zhi Xing E-Commerce Co., Ltd.",5.0,Mr. Leon Huang,,"No. 2002, Bldg. 5, Aoying Business Center, No. 9, Xingda Road, Xinan Subdistrict, Sanshui Dist.",528100,China,Guangdong,foshan
2566,"JTS (Xiamen) Sports Equipment Co., Ltd.",https://jtssports.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Golf Ball, Golf Bag, Golf Tee, Golf Head Cover, Training Aids",https://jtssports.en.alibaba.com/company_profile.html#top-nav-bar,"JTS (Xiamen) Sports Equipment Co., Ltd.",5.0,Mr. Apher Xu,Director/CEO/General Manager,Tongan,361100,China,Fujian,Xiamen 
2567,Grace Metal Limited (Foshan),https://gracemetal.en.alibaba.com/contactinfo.html,Gold Supplier,6,"stainless steel fabrication parts, aluminum fabrication parts, steel fabrication parts, metal fabrication parts, bronze fabrication",https://gracemetal.en.alibaba.com/company_profile.html#top-nav-bar,Grace Metal Limited (Foshan),4.7,Mr. Percy Chiang,Sales,"No.7 Chaoan Rd, Xuanxiang Industry Zone, Luocun,", 528226,China,Guangdong,foshan
2568,"Shenzhen Rodger Sports Co., Ltd.",https://golfballfactory.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Golf ball, golf mat, golf tees, golf retrievers, golf brush",https://golfballfactory.en.alibaba.com/company_profile.html#top-nav-bar,"Shenzhen Rodger Sports Co., Ltd.",5.0,Ms. Angela Yuan,Director/CEO/General Manager,"No 85 Tangkeng Road 3,pingshan",518118,China,Guangdong,Shenzhen
2569,"Dongguan Ustar Gifts Co., Ltd.",https://ustargifts.en.alibaba.com/contactinfo.html,Supplier,4,"Medals, Lapel Pins, Keyrings, Patches, Lanyards",https://ustargifts.en.alibaba.com/company_profile.html#top-nav-bar,"Dongguan Ustar Gifts Co., Ltd.,Supplier",5.0,,,,,,,
2570,"Guangzhou DOY Label Co., Ltd.",https://doylabelgz.en.alibaba.com/contactinfo.html,Supplier,8,"Hang Tags, Embroidered Patches, Metal Coins, Heat Transfer Labels, Rubber Patches",https://doylabelgz.en.alibaba.com/company_profile.html#top-nav-bar,"Guangzhou DOY Label Co., Ltd.,Supplier",5.0,Ms. Ada Yang,Director/CEO/General Manager,"B5-2205,Wanda Plaza,No.29th Huanshi Middle Road",511457,China,Guangdong,guangzhou
2571,"Dongguan Yuan Jie Gifts & Crafts Co., Ltd.",https://yuanjiegifts.en.alibaba.com/contactinfo.html,Supplier,4,Metal Gifts,https://yuanjiegifts.en.alibaba.com/company_profile.html#top-nav-bar,"Dongguan Yuan Jie Gifts & Crafts Co., Ltd.,Supplier",4.9,Mr. Dave Wu,Sales,"No2, Kuangtou Road , Shangtun Village Liaobu Town",523416,China,Guangdong,Dongguan 
2572,Hinfa Handcraft Enterprise Ltd.(Huizhou),https://hinfa.en.alibaba.com/contactinfo.html,Gold Supplier,5,"lapel pins, medals, metal coins, key chain, metal badges",https://hinfa.en.alibaba.com/company_profile.html#top-nav-bar,Hinfa Handcraft Enterprise Ltd.(Huizhou),4.4,Ms. Melissa Chou,Sales,HUIYANG ,516223,China,Guangdong,HUIZHOU 
2573,Shenzhen Light Venus Electronics Factory,https://guanyusports.en.alibaba.com/contactinfo.html,Gold Supplier,6,"sports footballs, football, volleyball, rugby, rubber ball",https://guanyusports.en.alibaba.com/company_profile.html#top-nav-bar,"Yiwu Guanqing Sports Goods Co., Ltd.",,Ms. Amy Bao,Sales,"NO.60 Suhua street,Yibei Industrial Park ,Suxi Town",322009,China,Zhejiang,Yiwu City
2574,"Hebei Starry Sports Goods Co., Ltd.",https://ywquanfagroup.en.alibaba.com/contactinfo.html,Supplier,9,Toys (only export),https://ywquanfagroup.en.alibaba.com/company_profile.html#top-nav-bar,"Yiwu Quanfa Import & Export Company Limited,Supplier",3.9,Mr. Mark He,Sales,",Building 53, TingTao South Road, HeYeTang Town, YiWu City, Zhejiang Province,China.",322009,China,Zhejiang,YIWU
2575,Zhaoqing Kawagoe Sports Industrial Company Limited,https://astoys.en.alibaba.com/contactinfo.html,Supplier,12,Plastic Toys,https://astoys.en.alibaba.com/company_profile.html#top-nav-bar,"A.S. Plastic Toys Co., Ltd.,Supplier",5.0,Mr. Andy Chen,Director/CEO/General Manager,"3 Floor,Block 8, Guanghua Ind.Zone, Chenghai",515800,China,Guangdong,Shantou
2576,"Yiwu City Nanchi Trading Co., Ltd.",https://nanchi.en.alibaba.com/contactinfo.html,Gold Supplier,4,"wall sticker, home decor products, Arcylic mirror sticker, 3D butterfly sticker, Night sticker",https://nanchi.en.alibaba.com/company_profile.html#top-nav-bar,,,Ms. Hedy Jin,Sales,Jiangdong street ,322000,China,Zhejiang,yiwu
